Namespace,Key,English Text,Spanish,French,German,Chinese,Hindi,Urdu,Arabic,Japanese,Korean,Russian
account,whoYouAreAnd,Who you are and what visitors can expect.,Quién eres y qué pueden esperar los visitantes.,Qui vous êtes et ce à quoi les visiteurs peuvent s’attendre.,Wer Sie sind und was die Besucher erwarten können.,??????????????,?? ??? ??? ?? ?????? ???? ?????? ?? ???? ????,?? ??? ??? ??? ?????? ??? ???? ?????? ????,?? ??? ??? ???? ?? ?????? ??????.,????????????????????,??? ???? ???? ??? ??? ? ????.,??? ?? ? ???? ??????? ???????????.
account,experienceSummary,Experience summary,Resumen de la experiencia,Résumé de l’expérience,Zusammenfassung der Erfahrungen,????,????? ??????,????? ?? ?????,???? ???????,????,?? ??,?????? ?????
account,notableClientsTrainingHighlights,"Notable clients, training, highlights.","Clientes notables, capacitación, aspectos destacados.","Clients notables, formations, faits saillants.","Namhafte Kunden, Schulungen, Highlights.",???????????,"????????? ??????, ?????????, ??????????","???? ??? ?????? ? ????? ? ???????","????? ?????? ? ????? ? ???? ?????.",?????????????????????????,"????? ??, ??, ?????.","????????? ???????, ????????, ???????? ???????."
account,sampleItinerariesTitleLink,Sample itineraries (title | link per line),Ejemplos de itinerarios (título | enlace por línea),Exemples d’itinéraires (titre | lien par ligne),Beispiele für Reiserouten (Titel | Link pro Zeile),??????? | ?????,????? ?????? ????????? (?????? | ???? ????? ??????),????? ??? ???? (????? | ??? ?? ????),????? ?????? ??????? (??????? | ???? ??? ???),???(???? | ??????),?? ??(?? | ??? ??),??????? ????????? (???????? | ?????? ?? ??????)
account,oldQuarterFoodTour,Old Quarter Food Tour | https://...&#10;Saigon After Dark | https://...,Tour gastronómico por el casco antiguo | https://... Saigón después del anochecer | https://...,Visite gastronomique du vieux quartier | https://... Saigon après la tombée de la nuit | https://...,Kulinarische Tour durch die Altstadt | https://... Saigon nach Einbruch der Dunkelheit | https://...,??????? |https://...????? |https://...,???? ???????? ??? ??? | https://... ?????? ????? ????? | https://...,???? ?????? ??? ??? | https://... ?????? ???? ???? | https://...,???? ???? ???? ?????? | https://... ?????? ??? ???? ?????? | https://...,????????? |https://...????????????? |https://...,?? ?? ?? ?? | https://... ??? ??? ???? | https://...,???????????????? ??? ?? ??????? ???????? | https://... ?????? ????? ??????????? ??????? | https://...
account,photosOrVideosTitle,Photos or videos (title | link per line),Fotos o videos (título | enlace por línea),Photos ou vidéos (titre | lien par ligne),Fotos oder Videos (Titel | Link pro Zeile),???????? | ?????,????? ?? ?????? (?????? | ????? ?????? ????),?????? ?? ?????? (????? | ??? ?? ????),????? ?? ????? ??????? (??????? | ?????? ??? ???),????????(???? | ???????),?? ?? ???(?? | ?? ??),?????????? ??? ????? (????????? | ?????? ? ??????)
account,profilePhotoHttps10tourHighlight,Profile photo | https://...&#10;Tour highlight | https://...,Foto de perfil | https://... Lo más destacado del tour | https://...,Photo de profil | https://... Temps fort de la visite | https://...,Profilfoto | https://... Höhepunkt der Tour | https://...,???? |https://...???? |https://...,????????? ????? | https://... ??? ??????? | https://...,??????? ???? | https://... ??? ?? ??????? | https://...,???? ????? ?????? | https://... ????? ????? ??? ?????? | https://...,???????? |https://...????????? |https://...,??? ?? | https://... ?? ????? | https://...,???? ??????? | https://... ???????? ??????? ???? | https://...
account,availabilityContact,Availability & Contact,Disponibilidad y contacto,Disponibilité & Contact,Verfügbarkeit & Kontakt,????????,???????? ?? ??????,??????? ??? ?????,?????? ????????,???????,??? ? ???,??????????? ? ????????
account,primaryTimezone,Primary timezone,Zona horaria principal,Fuseau horaire principal,Primäre Zeitzone,????,???????? ??????????,?????? ???? ???,??????? ??????? ????????,???????????,?? ???,???????? ??????? ????
account,availabilityTimezone,Availability timezone,Zona horaria de disponibilidad,Fuseau horaire de disponibilité,Verfügbarkeit Zeitzone,?????,???????? ??? ???????,??????? ?? ???? ???,??????? ??????? ???? ??????,?????????,??? ???,??????? ???? ???????????
account,workingHours,Working hours,Horario de trabajo,Heures d’ouverture,Arbeitszeit,????,??? ?? ????,??? ?? ?????,????? ?????,????,?? ??,???? ??????
account,setYourTypicalWorking,Set your typical working hours for each day of the week.,Establezca su horario de trabajo típico para cada día de la semana.,Définissez vos heures de travail habituelles pour chaque jour de la semaine.,Legen Sie Ihre typischen Arbeitszeiten für jeden Wochentag fest.,????????????????,?????? ?? ???????? ??? ?? ??? ???? ??????? ????? ???? ????????? ?????,???? ?? ?? ?? ?? ??? ???? ????? ??? ?? ????? ???? ?????,??? ????? ????? ???????? ??? ??? ?? ???? ???????.,???????????????????,???? ???? ?? ??? ?????.,?????????? ???????? ??????? ????? ??? ??????? ??? ??????.
account,availabilityNotes,Availability notes,Notas de disponibilidad,Notes de disponibilité,Hinweise zur Verfügbarkeit,?????,???????? ?????,??????? ?? ???,??????? ??????,???????????,??? ?? ??,?????????? ? ???????
account,anyAdditionalNotesAbout,Any additional notes about your availability,Cualquier nota adicional sobre su disponibilidad,Toute note supplémentaire sur votre disponibilité,Zusätzliche Hinweise zu Ihrer Verfügbarkeit,???????????????,???? ???????? ?? ???? ??? ??? ???????? ???,?? ?? ??????? ?? ???? ??? ???? ????? ???,?? ??????? ?????? ??? ??? ?????,???????????????,???? ?? ?? ?? ??,????? ?????????????? ?????????? ? ????? ???????????
account,saveProfile,Save Profile,Guardar perfil,Enregistrer le profil,Profil speichern,??????,????????? ??????,??????? ????? ????,??? ????? ??????,?????????,??? ??,????????? ???????
account,languagesYourTeamSupports,Languages your team supports,Idiomas que admite tu equipo,Langues prises en charge par votre équipe,"Sprachen, die Ihr Team unterstützt",?????????,???? ??? ??? ?????? ?? ?????? ???? ??,?? ?????? ?? ?? ?? ?? ??? ????? ???? ??,?????? ???? ?????? ?????,????????????,?? ???? ??,"?????, ??????? ???????????? ???? ???????"
account,addAdditionalLanguagesSeparated,"Add additional languages, separated by commas","Añadir idiomas adicionales, separados por comas","Ajouter des langues supplémentaires, séparées par des virgules","Fügen Sie zusätzliche Sprachen hinzu, die durch Kommas getrennt sind",????????????,"???????? ?????? ??????, ????????? ?? ??? ????",???? ?? ????? ??? ???? ????? ?????? ???? ????,????? ???? ?????? ?????? ??????,??????????????,??? ??? ?? ?? ??,"?????????? ?????????????? ?????, ??????????? ????????"
account,specialisations,Specialisations,Especializaciones,Spécialisations,Spezialisierungen,??,??????????,??????,????????,????,?? ??,?????????????
account,addAdditionalSpecialtiesSeparated,"Add additional specialties, separated by commas","Agregue especialidades adicionales, separadas por comas","Ajoutez des spécialités supplémentaires, séparées par des virgules","Fügen Sie zusätzliche Spezialitäten hinzu, die durch Kommas getrennt sind",????????????,"???????? ??????????? ?? ??????, ????????? ?? ??? ????",???? ?? ????? ??? ???? ????? ??????? ???? ????,??? ?????? ?????? ?????? ??????,???????????????????,??? ??? ?? ?? ?? ??,"???????? ?????????????? ????????????, ??????????? ????????"
account,countries,Countries,Países,Pays,Länder,??,?????,?????,???????,??,??,?????
account,regions,Regions,Regiones,Régions,Regionen,??,?????????,??????,???????,??,??,????????
account,cities,Cities,Ciudades,Villes,Städte,??,?????,?????,?????,???,??,???????
account,saveOrganisationProfile,Save organisation profile,Guardar perfil de la organización,Enregistrer le profil de l’organisation,Organisationsprofil speichern,??????,????? ????????? ??????,????? ??????? ????? ????,??? ??? ????? ???????,?????????????,?? ??? ??,????????? ??????? ???????????
admin,applicationsManagement,Applications Management,Gestión de aplicaciones,Gestion des applications,Anwendungsmanagement,??????,????????? ???????,????? ????? ?? ??????,????? ?????????,??????????,?????? ??,?????????? ????????????
admin,importantNotes,Important Notes:,Notas importantes:,Notes importantes :,Wichtige Hinweise:,?????,?????????? ???:,??? ???:,??????? ????:,???????:,?? ??:,?????? ??????????:
admin,allUploadedProfilesWill,"All uploaded profiles will be created with ""approved"" status","Todos los perfiles cargados se crearán con el estado ""aprobado""",Tous les profils téléchargés seront créés avec le statut « approuvé »,"Alle hochgeladenen Profile werden mit dem Status ""genehmigt"" erstellt",????????????“???”????,"????? ?? ?? ??? ????????? ""???????"" ?????? ?? ??? ???? ??????","???? ?? ??? ??? ???????? ""????? ???"" ????? ?? ???? ????? ????? ??","???? ????? ???? ??????? ??????? ???? ?? ??????? ????? ""????? ?????""",???????????????????????????????????????,"???? ?? ???? ""???"" ??? ?????.",??? ??????????? ??????? ????? ??????? ?? ???????? «????????»
admin,emailAddressesMustBe,Email addresses must be unique across the entire system,Las direcciones de correo electrónico deben ser únicas en todo el sistema,Les adresses e-mail doivent être uniques dans l’ensemble du système,E-Mail-Adressen müssen im gesamten System eindeutig sein,??????????????????,???? ??? ???? ?????? ??? ???????? ???? ?????,?? ??? ?????? ???? ???? ??? ????? ???? ????? ??,??? ?? ???? ?????? ?????? ?????????? ????? ??? ?????? ??????,????? ?????????????????????????,??? ??? ?? ????? ???? ???,?????? ??????????? ????? ?????? ???? ??????????? ?? ???? ???????
admin,invalidRowsWillBe,Invalid rows will be skipped with error details provided,Las filas no válidas se omitirán y se proporcionarán detalles de error,Les lignes non valides seront ignorées avec les détails de l’erreur fournis,"Ungültige Zeilen werden übersprungen, wobei Fehlerdetails angegeben werden",????????????????,?????? ?? ?? ?????? ????? ?? ??? ?????? ????????? ?? ???? ???? ?????,???? ?? ??????? ????? ???? ?? ???? ??? ?????? ?? ???? ??? ???? ??,???? ???? ?????? ??? ??????? ?? ????? ?????? ?????,?????????????????????????,??? ?? ?? ?? ??? ??? ??? ?????.,???????????? ?????? ????? ????????? ? ??????????????? ???????? ?? ??????
admin,theUploadProcessCannot,The upload process cannot be undone - review your data carefully,El proceso de carga no se puede deshacer: revise sus datos cuidadosamente,Le processus de téléchargement ne peut pas être annulé - examinez attentivement vos données,Der Upload-Vorgang kann nicht rückgängig gemacht werden - überprüfen Sie Ihre Daten sorgfältig,???????? - ????????,????? ????????? ?? ??????? ???? ???? ?? ???? - ???? ???? ?? ????????????? ??????? ????,?? ??? ?? ??? ?? ?????? ???? ??? ?????? ?? - ???? ???? ?? ?????? ?? ????? ???,?? ???? ??????? ?? ????? ??????? - ???? ??????? ??????,?????? ????????????????? - ????????????????,??? ????? ?? ??? ? ???? - ???? ?? ?? ??????.,??????? ???????? ?????? ???????? - ??????????? ????????? ???? ??????
admin,guidesInStaging,Guides in Staging,Guías en Staging,Guides en mise en scène,Hilfslinien in der Inszenierung,????,???????? ??? ????,??????? ??? ??????,???? ?? ???????,??????????,???? ???,????? ?? ??????????
admin,alreadyImported,Already Imported,Ya importado,Déjà importé,Bereits importiert,???,???? ?? ?? ???? ???? ??? ??,???? ?? ????? ???,?? ????????? ??????,??????????,?? ???,??? ?????????????
admin,importProcess,Import Process,Proceso de importación,Processus d’importation,Import-Prozess,????,???? ?????????,????? ?? ???,????? ?????????,?????????,?? ????,??????? ???????
admin,createAuthUsers,Create Auth Users,Crear usuarios de autenticación,Créer des utilisateurs d’authentification,Erstellen von Authentifizierungsbenutzern,????????,?????????? ?????????? ?????,??? ?????? ??????,????? ??????? ??????,?????????,?? ??? ??,???????? ????????????? ??????????????
admin,createProfiles,Create Profiles,Crear perfiles,Créer des profils,Erstellen von Profilen,??????,???????? ?????,???????? ??????,????? ????? ?????,?????????,??? ???,???????? ????????
admin,createGuideEntries,Create Guide Entries,Crear entradas de guía,Création d’entrées de guide,Erstellen von Guide-Einträgen,??????,???? ???????????? ?????,????? ???????? ??????,????? ??????? ??????,??????????,??? ?? ???,???????? ??????? ????????????
admin,storeCredentials,Store Credentials,Almacenar credenciales,Identifiants de magasin,Anmeldeinformationen speichern,????,????????????? ????? ????,????? ????? ????,????? ?????? ??????,???????,??? ?? ??,??????? ?????? ????????
admin,generateClaimTokens,Generate Claim Tokens,Generar tokens de notificación,Générer des jetons de revendication,Generieren von Anspruchstoken,??????,????? ???? ????? ????,???? ???? ???? ????,????? ???? ????????,???????????,??? ?? ??,???????? ???????? ???????????
admin,afterImport,After Import,Después de la importación,Après l’importation,Nach dem Import,???,???? ?? ???,????? ?? ???,??? ?????????,??????,???? ?,????? ???????
admin,selectGuidesAndExport,Select guides and export claim links to CSV,Seleccionar guías y exportar enlaces de reclamaciones a CSV,Sélectionnez des guides et exportez les liens de revendication au format CSV,Wählen Sie Leitfäden aus und exportieren Sie Anspruchslinks in CSV,????????????? CSV,?????????????? ????? ?? CSV ??? ???? ???? ??????? ????,?????? ????? ???? ??? CSV ??? ???? ?? ???? ????? ????,?????? ?????? ?????? ????? ????????? ??? ??? CSV,???????????????? CSV ?????????,???? ???? ??? ?? ??? CSV? ?????.,????? ?????????? ? ??????? ?????? ?? ????????? ? CSV
admin,sendInvitationEmailsTo,Send invitation emails to guides with their claim links,Enviar correos electrónicos de invitación a los guías con sus enlaces de reclamo,Envoyez des e-mails d’invitation aux guides avec leurs liens de réclamation,Senden Sie Einladungs-E-Mails an Leitfäden mit ihren Anspruchslinks,?????????????????,???? ?? ???? ????? ???? ?? ??? ??????? ???? ?????,?????? ?? ?? ?? ???? ?? ???? ?? ???? ???? ???? ?? ???? ??????,????? ????? ????????? ?????? ??? ???????? ???????? ????? ????????? ?????? ???,?????????????????????????,??? ??? ??? ????? ?? ??? ???,??????????? ??????????? ?? ??????????? ????? ???????????? ?? ???????? ??? ?????? ??????
admin,guidesClaimProfilesAnd,Guides claim profiles and complete missing information,Guía los perfiles de reclamos y completa la información faltante,Guides : profils de réclamation et renseignements manquants complets,Führt zu Anspruchsprofilen und ergänzt fehlende Informationen,?????????????,???? ???????? ?? ???? ???? ??? ?? ???? ??? ?? ??? ???????,?????? ???????? ?? ???? ???? ??? ??? ????? ??????? ?? ???? ???? ???,???? ????? ????? ????????? ?????????? ???????? ???????,????????????????????????,??? ??? ??? ? ??? ?? ??,??????????? ?? ???????? ????????? ? ?????? ??????????? ??????????
admin,bulkUpload,Bulk Upload,Carga masiva,Téléchargement en masse,Massen-Upload,????,???? ?????,??? ?? ???,????? ????,????????,?? ???,???????? ????????
admin,verification,Verification,Verificación,Vérification,Verifizierung,??,???????,?????,??????,??,??,????????
admin,reviews,Reviews,Comentarios,Critiques,Rezensionen,??,?????????,?????,???????,????,? ?? ??,???????
admin,reviewStats,Review Stats,Revisar estadísticas,Statistiques d’examen,Statistiken überprüfen,????,??????? ?? ??????? ????,????? ? ???? ?? ????? ???,?????? ??????????,??????,?? ??,?????????? ??????
admin,adsManagement,Ads Management,Gestión de anuncios,Gestion des publicités,Verwaltung von Anzeigen,????,???????? ???????,???????? ?? ??????,????? ?????????,????,?? ??,?????????? ????????
admin,applications,Applications,Aplicaciones,Applications,Anträge,??,???????????,?????????,?????????,????????,?? ????,??????????
admin,antiscraping,Anti-Scraping,Anti-raspado,Anti-grattage,Anti-Kratzen,???,?????? ??????????,????? ???????,???? ?????,??????????,?? ??,?????? ?? ?????????????
admin,status,Status,Estado,Statut,Status,??,????,????,????,??,??,??????
admin,reviewStatistics,Review Statistics,Estadísticas de revisión,Statistiques d’examen,Statistik überprüfen,????,????????? ?? ??????? ????,????? ? ???? ?? ????? ???,?????? ??????????,???????,?? ??,?????????? ???????
admin,overviewOfAllReview,Overview of all review activity,Resumen de toda la actividad de revisión,Vue d’ensemble de toutes les activités d’examen,Überblick über alle Überprüfungsaktivitäten,????????,??? ??????? ??????? ?? ??????,????? ???? ?? ???? ?????? ?? ?????,???? ???? ??? ???? ????? ????????,?????????????,?? ?? ?? ??,????? ???? ???????????? ?? ??????
admin,totalReviews,Total Reviews,Opiniones totales,Nombre total d’avis,Bewertungen insgesamt,????,??? ???????,?? ?????,?????? ?????????,??????,? ??,????? ???????
admin,pending,Pending,Pendiente,En instance,Anhängig,??,?????,?????,???????,??????,?? ??,?????????
admin,approved,Approved,Aprobado,Approuvé,Gebilligt,??,????????,?????,????,??,??,??????????
